commit_id,module,message,la,ld,ns,nd,nf,entropy,lt,fix,ndev,age,nuc,exp,rexp,sexp,label,commit_time
C1,module_1,Refactor module_1; la=14 ld=45 bugfix=0,14,45,3,1,1,0.5255680806334571,706,0,2,23.793979748628285,8,2.099046046341824,2.852689448361639,1.6675093422520455,0,1703869780
C2,module_1,Refactor module_1; la=16 ld=47 bugfix=0,16,47,2,1,1,0.744508267734806,754,0,3,20.323091855533487,7,2.6190989173939827,2.016985203609459,3.341647600870461,0,1703873380
C3,module_1,Refactor module_1; la=19 ld=42 bugfix=0,19,42,4,1,1,0.3351037568617521,996,0,5,8.344902927113058,6,2.175028713711092,1.7624263160748155,2.07142877794819,0,1703876980
C4,module_1,Refactor module_1; la=41 ld=35 bugfix=0,41,35,3,1,1,0.4059254691414409,609,0,6,6.341688843067567,8,0.5243046574237074,1.09813796401707,1.3627530651050055,0,1703880580
C5,module_1,Refactor module_1; la=59 ld=23 bugfix=1,59,23,2,2,1,0.2448627353324156,461,1,4,16.424257360705653,8,1.3591210304951986,1.690247629292057,1.8255903939673366,0,1703884180
C6,module_1,Refactor module_1; la=23 ld=22 bugfix=0,23,22,2,1,2,0.4061195319594552,804,0,4,21.653851089727862,5,1.3650525319337694,1.404338146912321,0.4873344339580299,1,1703887780
C7,module_1,Refactor module_1; la=15 ld=37 bugfix=0,15,37,2,1,3,0.4287472057877148,1022,0,3,5.499779450894188,4,3.2604622061860935,0.5727845078308182,1.6344236435458572,0,1703891380
C8,module_1,Refactor module_1; la=3 ld=31 bugfix=1,3,31,2,2,2,0.820355778264183,729,1,4,17.199966839717653,10,3.252666868871868,1.9282452709794111,2.663302891219562,1,1703894980
C9,module_2,Refactor module_2; la=30 ld=2 bugfix=1,30,2,3,1,1,0.2968841837584917,895,1,7,44.1386246600733,7,0.5156928199522037,1.0584555368775708,1.4677114623438356,0,1704625600
C10,module_2,Refactor module_2; la=24 ld=27 bugfix=0,24,27,4,2,1,0.29286924943483766,298,0,3,32.67929913579883,6,3.4741092665345863,0.9008452817530176,0.015056233582975365,0,1704629200
C11,module_2,Refactor module_2; la=93 ld=13 bugfix=0,93,13,3,1,2,0.5769901932211726,754,0,2,19.460722014820806,4,0.16159135434912786,0.03352508918354302,1.3725879177221194,0,1704632800
C12,module_2,Refactor module_2; la=37 ld=35 bugfix=0,37,35,4,2,1,0.7212577420119778,929,0,4,2.755309682794998,1,4.476391898346874,3.5683988649399563,1.0204807867173993,0,1704636400
C13,module_2,Refactor module_2; la=12 ld=12 bugfix=0,12,12,3,1,1,0.4673114202950975,902,0,4,21.43938793276858,2,1.926922397104823,0.48812367564855474,0.01881306042362807,0,1704640000
